x,y,z
17.33764,38.98441,13.40684
17.34472,27.26448,3.75073
17.36166,10.03515,14.92877
17.37543,17.81724,32.1418
17.38177,14.97013,26.35554
17.39079,40.14285,18.40227
17.40238,13.2055,13.78845
17.40408,13.20339,13.78833
17.40939,43.86761,44.10938
17.41202,3.4086,3.97257
17.41954,41.04385,17.67142
17.42572,37.33262,12.22152
17.42892,41.36853,15.61528
17.43909,1.69948,16.12089
17.45555,39.84434,17.8354
17.46578,40.36544,13.32368
17.46763,3.45838,42.27435
17.49799,39.25765,10.75786
17.5438,41.73704,14.08885
17.54784,28.01138,32.99989
17.54898,1.29898,1.58065
17.5495,17.16651,31.96757
17.55303,34.20464,3.71749
17.56831,25.99471,28.85452
17.5686,34.39686,45.61792
17.59153,14.01454,20.81699
17.61542,47.81402,7.04439
17.62636,40.97945,10.41231
17.64141,39.71959,11.44907
17.67512,13.33065,1.23417
17.68499,48.71101,44.71431
17.70668,41.04915,13.45217
17.7208,4.24484,18.83294
17.75294,6.14617,8.49602
17.78048,5.4109,12.63182
17.80448,41.98183,11.25813
17.82511,10.199,13.4442
17.85482,19.52788,5.64881
17.88174,38.44161,14.79208
17.88591,16.09509,13.17999
17.91077,0.05431,33.93651
17.91747,6.57613,27.21997
17.92608,41.04139,12.7922
17.96678,24.60257,21.71409
17.9791,28.11073,0.78622
17.98423,11.07522,9.5517
17.99574,43.60614,17.02132
18.0165,25.4823,28.6356
18.03539,41.45616,4.0747
18.04913,43.03981,13.52315
18.05793,15.5567,38.43837
18.07592,42.88243,13.31091
18.07992,17.35136,7.33218
18.10571,42.53402,9.60388
18.12552,17.94828,12.87054
18.14001,43.18833,27.44053
18.18943,43.17558,16.8126
18.21764,27.92602,45.80715
18.27736,5.5552,8.09387
18.27747,41.93096,14.87759
18.27805,5.55592,8.09184
18.346,42.36698,12.90643
18.36196,34.69555,8.48137
18.37887,48.31069,10.9042
18.38216,40.36281,11.12162
18.38426,39.40748,10.8704
18.40623,40.82882,14.15756
18.42733,28.94074,14.27584
